,birth,death,gender,hair,height,name,race,realm,spouse
606,"Mid-,First Age",,Female,Brown,,Beldis,Men,,Handir
607,FA 316,,Male,,,Beldir,Men,,Unnamed wife
608,,"March 3 ,3019",Male,Leafy-hair,Very tall,Beechbone,Other,,
609,TA 2985,"Early ,Fourth Age",Male,,"6'2""",Bard II,Men,"Dale,Lake-town",
610,TA 2898,TA 2977,Male,Black (films),,Bard,Men,Dale,Unnamed wife
611,FA 317,,Male,,,Baranor,Men,,Unnamed wife
612,FA 289,FA 380,Male,,,Baran,Men,Estolad,Unnamed wife
613,TA 2290,TA 2412,Male,,,Barahir (Steward),Men,Gondor,Unnamed wife
614,,,,,,Barahir (Fourth Age),Unknown,,
615,FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir
616,FA 420,FA 460,Male,,,Baragund,Men,,Unnamed wife
617,TA 2763,TA 2994,Male,White,,Balin,Dwarves,,
618,,,,,,Baldor,Unknown,,
619,,,,,,Balcmeg,Unknown,,
620,TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Bain,Men,Dale,Unnamed wife
621,,,,,,Ruby (Bolger) Baggins,Unknown,,
622,TA 2948,,Male,,,Porto Baggins,Hobbits,,
623,TA 2946,,Male,,,Ponto Baggins II,Hobbits,,Unnamed wife
624,,,,,,Ponto Baggins I,Unknown,,
625,TA 2816,TA 2911,Male,,,Ponto Baggins,Hobbits,,Mimosa Bunce
626,,,,,,Polo Baggins,Unknown,,
627,TA 2950,,Female,,,Peony (Baggins) Burrows,Hobbits,,Milo Burrows
628,,,,,,Pansy Baggins,Unknown,,
629,,,,,,Man in the Moon,Unknown,,
630,TA 1144,TA 1349,Male,,,Malvegil,Men,Arthedain,Unnamed wife
631,,,Female,,,"Malva ""Headstrong"" Brandybuck",Hobbits,,Gormadoc Brandybuck
632,TA 895,TA 1110,Male,,,Mallor,Men,"Arthedain,Arnor",Unnamed wife
633,"Mid ,Third Age",Mid Third Age ,Male,"Dark, later grey ",,Malbeth the Seer,Men,,"Unknown, possible none"
634,,,,,,Malantur,Unknown,,
635,,,,,,Mallor (BOH),Unknown,,
636,FA 307,FA 398,Male,,,Malach,Men,,Meldis
637,SA 377,,Female,,,Mairen,Men,,
638,UnknownYT,Still alive,Male,Brown with copperlike-red,,Mahtan,Elves,,Unnamed wife
639,F.A. 341,,Male,,,Magor,Men,,
640,"During the ,Noontide of Valinor",Fate unknown,Male,Dark,,Maglor,Elves,,Unnamed wife
641,TA 2948,,Male,Brown,,Farmer Maggot,Hobbits,,Unnamed wife
642,FA 320,FA 510,Male,Black,Tall,Maeglin,Elves,,None
643,"During the ,Noontide of Valinor",FA 587,Male,Dark red,Tall,Maedhros,Elves,,None
644,"Late ,Third Age",,Male,Dark,Tall,Mablung the Ranger,Men,,
645,,FA 502,Male,,,Mablung,Elves,,
646,YT 1200,FA 503,Female,Black,,Lúthien,Elves,,Beren Erchamion
647,"Late ,Third Age",TA 2994,Male,,,Lóni,Dwarves,,
648,TA 2752,TA 2842,Male,,,Brytta Léofa,Men,Rohan,Unnamed wife
649,TA 2459,TA 2501,Male,,,Léod,Men,,Unnamed wife
650,"Before the creation of ,Arda",First Age,Male,Mane of red flame,,Lungorthin,Other,,
651," ,3019",February 293019,Male,Dark,6'1 (film),Lugdush,Other,,
652,TA 2999,,Female,,,Lothíriel,Men,Rohan,omer
653,"Late ,First Age",Late First Age ,Male,,,Lorgan,Men,,
654,"Late ,Second Age",Late Second Age ,Female,,,Lindórië,Men,,Unknown husband
655,YT,,Male,,,Lindo,Elves,,Vairë
656,SA 551,,Female,,,Lindissë,Men,,
657,,"Possibly departed to ,Aman",Male,Brown (films),Tall,Lindir,Elves,,
658,SR 1313,Between SR 1401-1418,,,3'8',Letter 211,Unknown,,Lilah Took
659,YT,YT (possibly),Male,,,Lenwë,Elves,,Unnamed wife
660,,,Male,,,Legolas (elf of Gondolin),Elves,,
661,,"Still alive, departed to ,Aman ,FO 120",Male,"Uncertain (book), Blonde (films)",,Legolas,Elves,,
662,"Late ,First Age",,Male,,,Larnach,Men,,Unnamed wife
663,"Possibly ,First Age",Possibly still alive,Male,,,Landroval,Other,,
664,FA 466,FA 469,Female,Blonde,,Lalaith,Men,,
665,,,,,,Hamfast Gardner,Unknown,,
666,March 253021,"Early ,Fourth Age",Female,Blonde or Golden,,Elanor Gardner,Hobbits,,Fastred of Greenholm
667,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,"Grey, later white",,Gandalf,Maiar,,
668,"Possibly late ,Third Age",,Male,Possibly blond,,Gamling,Men,,
669,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton
670,,,,,,Rose Gamgee,Unknown,,
671,,,,,,Gamil Zirak,Unknown,,
672,TA 2976,,Female,,,May Gamgee,Hobbits,,
673,TA 2965,,Male,,,Hamson Gamgee,Hobbits,,None
674,TA 2926,FO 7 (SR 1428),Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbits,,Bell Goodchild
675,TA 2969,,Male,,,Halfred Gamgee,Hobbits,,
676,FO 2,FO ,Male,,,Frodo Gardner,Hobbits,,Unnamed wife
677,TA 2972,FO 54,Female,,,Daisy Gamgee I,Hobbits,,
678,,,,,,Bilbo Gamgee,Unknown,,
679,,,,,,Halfast Gamgee,Unknown,,
680,,,,,,Merry Gamgee,Unknown,,
681,,,Male,,,Galion,Elves,,
682,,,Male,,,Galdor of the Tree,Elves,,
683,,,Male,Golden (movie),6'3 (movie),Galdor of the Havens,Elves,,
684,FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth
685,,,,,,Galar,Unknown,,
686,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn
687,,,Male,,,Galathil,Elves,,Unnamed Wife
688,TA 2004,TA 2129,Male,,,Galador,Half-elven,,Unnamed wife
689,,,,,,Fíriel Fairbairn,Unknown,,
690,TA 1896,,Female,,,Fíriel,Men,Arthedain,Arvedui
691,TA 2859,November 23TA 2941,Male,Yellow,,Fíli and Kíli,Dwarves,,None
692,YT 1169,YT 1497,Male,Raven,Tall,Fëanor,Elves,"Tirion,Formenos",Nerdanel
693,TA 2662,TA 2799,Male,,,Fundin,Dwarves,,Unnamed wife
694,,,,,,Fuithluin,Unknown,,
695,Second Age,,Male,,,Fuinur,Men,,
696,TA 2552,TA 2589,Male,,,Frór,Dwarves,,
697,TA 2594,TA 2680,Male,,,Fréawine,Men,Rohan,
698,TA 2726,TA 2798,Male,,,Fréaláf Hildeson,Men,Rohan,Unnamed wife
699,TA 2570,TA 2659,Male,,,Fréa,Men,Rohan,Unnamed wife
700,"Late ,Third Age",November 102994,Male,,,Frár,Dwarves,,
701,TA 1940,TA 2001,Male,,,Frumgar,Men,,Unnamed wife
702,TA 2751,TA 2799,Male,,,Frerin,Dwarves,,
703,TA 2698,TA 2754,Male,Dark,,Freca,Men,,Unnamed wife
704,TA 1967,"Unknown, sometime after ,TA 2000",Male,,,Fram,Men,,"Unknown, probably as he had descendants"
705,"Late ,First Age",Late First Age ,Male,Fair,,Forweg,Men,,"Unknown, probably none"
706,TA 2745,TA 2848,Male,,,Fortinbras Took I,Hobbits,,Unnamed wife
707,"Mid ,Third Age",TA 1944,Male,,,Forthwini,Men,,"Unknown, but possible since he had descendants"
708,"Late ,Third Age",TA 3019,Male,,,Forlong,Men,,unknown
709,TA 2830,TA 2903,Male,,,Folcwine,Men,Rohan,Unnamed wife
710,TA 2858,TA 2885,Male,,,Folcred,Men,,
711,TA 2804,TA 2864,Male,,,Folca,Men,,Unnamed wife
712,"Late ,Third Age",TA 2994,Male,,,Flói,Dwarves,,
713,,,,,,Fladrif,Unknown,,
714,,,,,,Moro Burrows,Unknown,,
715,TA 2996,,Male,,,Minto Burrows,Hobbits,,
716,SR 1347,,Male,,,Milo Burrows,Hobbits,,Peony Baggins
717,TA 1930,TA 2031,Male,,,Bucca of the Marish,Hobbits,,
718,,,,,,Broncho Stonecrow,Unknown,,
719,TA 2857,,Female,,,Sapphira (Brockhouse) Boffin,Hobbits,,Uffo Boffin
720,"Mid ,First Age",Late First Age ,Male,,,Bregor,Men,,Unnamed wife
721,TA 2913,TA 3012,Female,,,Asphodel (Brandybuck) Burrows,Hobbits,,Rufus Burrows
722,,,,,,Brodda,Unknown,,
723,"Late ,First Age",FA 455,Male,,,Bregolas,Men,,Unnamed wife
724,TA 2512,TA 2570,Male,,,Brego,Men,Rohan,Unnamed wife
725,TA 2519,,Male,Leafy-hair,,Bregalad,Other,,
726,,,,,,Salvia (Brandybuck) Bolger,Unknown,,
727,,,,,,Rorimac Brandybuck,Unknown,,
728,TA 2920,TA 2980,Female,,,Primula (Brandybuck) Baggins,Hobbits,,Drogo Baggins
729,TA 2860,TA 2960,Female,,,Mirabella (Took) Brandybuck,Hobbits,,Gorbadoc Brandybuck
730,TA 2948,,Male,,,Seredic Brandybuck,Hobbits,,Hilda Bracegirdle
731,,,,,,Merimac Brandybuck,Unknown,,
732,,,,,,Orgulas Brandybuck,Unknown,,
733,TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbits,,Estella (Bolger) Brandybuck
734,TA 2983,"Early-,Fourth Age",Female,Dark Brown,,Mentha Brandybuck,Hobbits,,
735,SR 1385,,Female,,,Melilot Brandybuck,Hobbits,,
736,SR 1175,SR 1277,Male,,,Madoc Brandybuck,Hobbits,Buckland,Hanna Goldworthy
737,,,,,,Ilberic Brandybuck,Unknown,,
738,,,,,,Gorbadoc Brandybuck,Unknown,,
739,,,,,,Marmadoc Brandybuck,Unknown,,
740,TA 2985,"Before ,FO 63",Female,Dark Blonde,,Estella (Bolger) Brandybuck,Hobbits,,Meriadoc Brandybuck
741,TA 2954,,Female,,,Hilda Brandybuck,Hobbits,,Seredic Brandybuck
742,TA 2936,,Female,,,Esmeralda Brandybuck,Hobbits,,Saradoc Brandybuck
743,,,,,,Doderic Brandybuck,Unknown,,
744,TA 2994,,Female,,,Celandine Brandybuck,Hobbits,,None
745,,,,,,Berilac Brandybuck,Unknown,,
746,TA 2904,TA 2998,Female,,,Amaranth Brandybuck,Hobbits,,None
747,TA 2818,,Female,,,Adaldrida (Bolger) Brandybuck,Hobbits,,Marmadoc Brandybuck
748,First Age,FA 499,,,,Brandir,Men,,
749,TA 2957,"March 17 ,3019",Male,,,Brand,Men,"Dale,Laketown",Unnamed wife
750,TA 2865,,Female,,,Primrose Bracegirdle,Hobbits,,Blanco Bracegirdle
751,TA 2913,TA 3010,Male,,,Bruno Bracegirdle,Hobbits,,Unnamed wife
752,TA 2865,,Male,,,Blanco Bracegirdle,Hobbits,,Primrose Boffin
753,"Late ,First Age",FA 473,Male,,,Borthand,Men,,
754,"Late ,Third Age","April 15 ,2510",Male,,,Borondir,Men,,
755,First Age,First Age ,Male,,,Boron,Men,,Unnamed wife
756,TA 2410,TA 2489,Male,,,Boromir (Steward),Men,,Unnamed wife
757,FA 338,FA 432,Male,,,Boromir (House of Bëor),Men,,Unnamed wife
758,,,,,,Reginard Took,Unknown,,
759,,,,,,Pimpernel Took,Unknown,,
760,,,,,,Pervinca Took,Unknown,,
761,TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve
762,TA 2975,"before ,FO 63",Female,,,Pearl Took,Hobbits,,None
763,TA 2933,FO 13,Male,,,Paladin Took II,Hobbits,,Eglantine Banks
764,,,,,,Lalia (Clayhanger) Took,Unknown,,
765,TA 2847,"TA 2946, (SR 1346",Male,,,Isembard Took,Hobbits,,
766,SR 1240,SR 1341,Male,,,Hildigrim Took,Hobbits,,Rosa Baggins
767,TA 2844,,Male,,,Hildifons Took,Hobbits,,
768,TA 2849,TA 2934,Male,,,Hildibrand Took,Hobbits,,
769,TA 2790,TA 2920,Male,,,Gerontius Took,Hobbits,,Adamanta Chubb
770,,,,,,Flambard Took,Unknown,,
771,,,,,,Ferdinand Took,Unknown,,
772,TA 2916,TA 3015,Male,,,Ferumbras III Took,Hobbits,,None
773,TA 2928,FO 2,Male,,,Adelard Took,Hobbits,,Unnamed wife
774,TA 2817,TA 2923,Female,,,Adamanta (Chubb) Took,Hobbits,,"Gerontius ""The Old"" Took"
775,,,,,,Ferdibrand Took,Unknown,,
776,TA 2880,TA 2982,Male,,,Adalgrim Took,Hobbits,,Unnamed wife
777,,,,,,Everard Took,Unknown,,
778,TA 2701,TA 2800,Male,,"1.35m (4'5"")",Bandobras Took,Hobbits,,Unnamed wife 
779,TA 2666,TA 2759,Male,,,Isumbras Took III,Hobbits,,Unnamed wife
780,TA 2620,TA 2722,Male,,,Isengrim Took II,Hobbits,,Unnamed wife
781,TA 2878,TA 2980,Male,,,Fortinbras Took II,Hobbits,,Lalia Clayhanger
782,,,,,,Tolman Gardner,Unknown,,
783,TA 2295,TA 2398,Male,,,Isumbras Took I,Hobbits,,
784,FO 10,FO 112,Male,,,Faramir Took I,Hobbits,,Goldilocks Gardner
785,"Third Age, or before",,Male,None,About 13',"Tom, Bert, and William",Other,,None
786,"After ,SA 61","Early ,Second Age",Female,,,Tindómiel,Men,,
787,,,,,,Tim,Unknown,,
788,Before the creation of Arda,Immortal,Male, ,,Tilion,Ainur,,None
789,,,,,,Théodwyn,Unknown,,
790,TA 2978,"February 25 ,3019",Male,,,Théodred,Men,,
791,"TA 2948 ,Gondor","March 15 ,3019",Male,White with braids (book) Blonde (films),Tall,Théoden,Men,,Elfhild
792,,FA 465,Female,,,Thuringwethil,Other,,
793,TA 2542,TA 2790,Male,Grey-white,,Thrór,Dwarves,"Grey Mountains,Lonely Mountain",Unnamed wife
794,TA 2644,TA 2850,Male,,,Thráin II,Dwarves,Lonely Mountain,Unnamed wife
795,First Age,"Presumably departed to ,Aman",Male,Golden,Tall,Thranduil,Elves,"Woodland Realm,Mirkwood",Unnamed wife
796,"Before the Creation of ,Arda",Immortal,Male,,30,Thorondor,Other,,
797,TA 1934,TA 2190,Male,,,Thráin I,Dwarves,Khazad-dûm,Unnamed wife
798,TA 2782,TA 2882,Male,,,Thorondir,Men,,Unnamed wife
799,TA 2866,"FO 137,(aged 280)",Male,,,Thorin III Stonehelm,Dwarves,"Lonely Mountain,Iron Hills",
800,TA 2746,"November 23, TA 2941",Male,,,Thorin II Oakenshield,Dwarves,Ered Luin,
801,TA 2035,TA 2289,Male,,,Thorin I,Dwarves,"Lonely Mountain,Grey Mountains",Unnamed wife
802,YT 1050,FA 502,Male,Silver,"Tallest of the Elven-folk, 8'2""",Thingol,Elves,Doriath,Melian
803,TA 2905,TA 2980,Male,,,Thengel,Men,Rohan,Morwen Steelsheen
804,Second Age,"Sometime after the ,War of the Last Alliance",Male,,Tall,The King of the Dead,Men,"White Mountains,Paths of the Dead",
805,TA 1516,TA 1636,Male,,,Telemnar,Men,Gondor,Unnamed wife
806,First Age,First Age,Male,,,Telchar,Dwarves,,
807,"Unknown, awakened in the ,Years of the Trees",,Female,,,Tatië,Elves,,Tata
808,TA 1632,TA 1850,Male,,,Telumehtar,Men,Gondor,Unnamed wife
809,"Unknown, awakened in the ,Years of the Trees",,Male,,,Tata,Elves,,Tatië
810,TA 372,TA 602,Male,,,Tarondor of Arnor,Men,Arnor,Unnamed wife
811,"Late ,Third Age",,Male,,,Targon,Men,,
812,,,,,,Mimosa (Bunce) Baggins,Unknown,,
813,TA 2860,TA 2950,Male,,,Longo Baggins,Hobbits,,Camellia (Sackville) Baggins
814,TA 2814,TA 2916,Female,,,Laura (Grubb) Baggins,Hobbits,,Mungo Baggins
815,TA 1577,TA 1798,Male,,,Tarondor,Men,Gondor,Unnamed wife
816,"After ,TA 654","Before ,TA 913",Male,,,Tarciryan,Men,,Unnamed wife
817,TA 2807,TA 2900,Male,,,Mungo Baggins,Hobbits,,Laura Grubb
818,,,,,,Largo Baggins,Unknown,,
819,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",Frodo Baggins,Hobbits,,
820,TA 2864,TA 2960,male,,,Fosco Baggins,Hobbits,,Ruby Bolger
821,TA 2911,TA 3009,Male,,,Dudo Baggins,Hobbits,,Unnamed wife
822,TA 2908,TA 2980,Male,,,Drogo Baggins,Hobbits,,Primula Brandybuck
823,,,,,,Dora Baggins,Unknown,,
824,,,,,,Bingo Baggins,Unknown,,
825,,,,,,Chica (Chubb) Baggins,Unknown,,
826,TA 2846,TA 2926,Male,,,Bungo Baggins,Hobbits,,
827,TA 2772,TA 2871,Female,,,Berylla (Boffin) Baggins,Hobbits,,Balbo Baggins
828,TA 2852,TA 2934,Female,Black,,Belladonna (Took) Baggins,Hobbits,,Bungo Baggins
829,TA 2767,TA 2858,Male,,,Balbo Baggins,Hobbits,,Berylla (Boffin) Baggins
830,TA 2981,"Early-,Fourth Age",Female,Blonde,,Angelica Baggins,Hobbits,,
831,,TA 2799,Male,none,8'5,Azog,Orcs,"Moria,Mount Gundabad",
832,FA 214,FA 473,Male,,,Azaghâl,Dwarves,,
833,SA 395,,Male,,,Axantur,Men,,Unnamed wife
834,"Before the creation of ,Arda",Immortal,Male,,,Aulë,Ainur,,Yavanna
835,SA 213,"Early ,Second Age",Male,,,Aulendil (Vardamir's son),Men,,Unnamed wife
836,TA 977,TA 1226,Male,,,Atanatar II,Men,Gondor,Unnamed wife
837,TA 480,TA 748,Male,,,Atanatar I,Men,Gondor,Unnamed wife
838,"After ,SA 61","Early ,Second Age",Male,,,Atanalcar,Men,,Possible unnamed wife
839,,,,,,Asgon,Unknown,,
840,TA 241,FO 121,Female,Black,,Arwen,Half-elven,Reunited Kingdom,Aragorn II Elessar
841,TA 1633,TA 1813,Male,,,Arveleg II,Men,"Arthedain,Arnor",Unnamed wife
842,TA 1309,TA 1409,Male,,,Arveleg I,Men,"Arnor,Arthedain",Unnamed wife
843,TA 1553,TA 1743,Male,,,Arvegil,Men,"Arthedain,Arnor",Unnamed wife
844,TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel
845,"Late ,First Age",FA 460,Male,,,Arthad,Men,,
846,,,,,,Artamir,Unknown,,
847,,,Male,,,Arminas,Elves,,
848,"Before the creation of ,Arda",Immortal,Female,,,Arien,Ainur,,None
849,TA 2757,TA 2912,Male,,,Argonui,Men,,Unnamed wife
850,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,Argon,Elves,,None
851,TA 1473,TA 1670,Male,,,Argeleb II,Men,Arthedain,Unnamed wife
852,TA 1226,TA 1356,Male,,,Argeleb I,Men,"Arthedain,Arnor",Unnamed wife
853,YT 1362,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl
854,SA 562,,Male,,,Ardamir (son of Axantur),Men,,
855,"After ,TA 1684",,Male,,,Arciryas,Men,,Unnamed wife
856,TA 2497,TA 2654,Male,,,Aravorn,Men,,Unnamed wife
857,TA 2156,TA 2319,Male,,,Aravir,Men,,Unnamed wife
858,TA 1711,TA 1891,Male,,,Araval,Men,"Arthedain,Arnor",Unnamed wife
859,TA 2873,TA 2933,Male,Dark (film),,Arathorn II,Men,,Gilraen
860,TA 2693,TA 2848,Male,,,Arathorn I,Men,,Unnamed wife
861,SA 3339,,Male,,,Aratan,Men,TA 2,"Unknown, possibly known"
862,TA 2628,TA 2784,Male,,,Arassuil,Men,,Unnamed wife
863,TA 1391,TA 1589,Male,,,Araphor,Men,Arthedain,Unnamed wife
864,TA 185,TA 435,Male,,,Arantar,Men,Arnor,Unnamed wife
865,TA 1789,TA 1964,Male,,,Araphant,Men,Arthedain,Unnamed wife
866,,,Male,,,Aranwë,Elves,,Unnamed wife
867,TA 2084,TA 2247,Male,,,Aranuir,Men,,Unnamed wife
868,TA 1938,TA 2106,Male,,,Aranarth,Men,,Unnamed wife
869,TA 2012,TA 2177,Male,,,Arahael,Men,,Unnamed wife
870,TA 2563,TA 2719,Male,,,Arahad II,Men,,Unnamed wife
871,TA 2365,TA 2523,Male,,,Arahad I,Men,,Unnamed wife
872,TA 2431,TA 2588,Male,,,Aragost,Men,,Unnamed wife
873,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen
874,TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife
875,TA 2296,TA 2455,Male,,,Araglas,Men,,Unnamed wife
876,TA 2820,TA 2930,Male,"Dark, then grey (film)",,Arador,Men,,Unnamed wife
877,SA 2798,SA 3033,Male,,,Ar-Zimrathôn,Men,Númenor,Unnamed wife
878,"Mid-,Third Age",,Male,,,Angamaitë,Men,,
879,FA 440,FA 489,Male,,,Andróg,Men,,Unnamed wife
880,FA 361,FA 455,Female,Dark brown,,Andreth,Men,,"Loved ,Aegnor, but they never married"
881,Possibly before the Creation of Arda,FA 587,Male,,As tall as a mountain,Ancalagon,Dragons,,
882,"Late ,Third Age",,Male,Dark,,Anborn,Men,,
883,TA 136,TA 411,Male,,,Anardil,Men,Gondor,Unnamed wife
884,YT,,Female,,,Anairë,Elves,,Fingolfin
885,TA 2994,,Male,,,Amrothos,Men,,
886,,,,,,Andvír,Unknown,,
887,,TA 1981,Male,Golden,,Amroth,Elves,Lórien,Nimrodel
888,Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,Amrod,Elves,,None
889,Years of the Trees,FA 538,Male,Dark red,,Amras,Elves,Estolad,None
890,TA 726,TA 946,Male,,,Amlaith,Men,Arthedain,Unnamed wife
891,,,,,,Amlach,Unknown,,
892,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Amdír,Elves,Lórien,Unnamed wife
893,YT,Still alive,Female,,,Amarië,Elves,,"Loved ,Finrod, but it is unknown whether they married"
894,"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,Amandil,Men,,Unnamed wife
895,TA 3017,FO 95,Male,,,Alphros,Men,,
896,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Almiel,Men,,
897,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Ailinel,Men,,Orchaldor
898,,,Female,,,Almarian,Men,Númenor,Tar-Meneldur
899,"Late ,First Age",FA 489,Male,,,Algund,Men,,None known
900,TA 2544,TA 2645,Male,,,Aldor,Men,Rohan,Unnamed wife
901,TA 1330,TA 1540,Male,,,Aldamir,Men,Gondor,Unnamed wife
902,Before the creation of Arda,,Male,,,Alatar,Ainur,,None
903,TA 2827,TA 2932,Male,,,Aglahad,Men,,Unnamed wife
904,,,,,,Aghan,Unknown,,
905,,,,,,Agathor,Unknown,,
906,"Mid ,First Age",FA 495,Female,,,Aerin,Men,,Brodda
907,,,,,,Aerandir,Unknown,,
908,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,Aegnor,Elves,,"Loved ,Andreth but remained unmarried"
909,TA 2917,TA 3010,Male,,,Adrahil II,Men,,Unnamed wife
910,"Before ,TA 1944","Late ,Third Age",Male,,,Adrahil I,Men,,
